Category,Count
mtd/fixes-for-6.13-rc5,1
modules-6.13-rc5,1
nfsd-6.13-1,1
preempt,1
Linux 6.13-rc4,1
for-linus,13
kvm-x86-fixes-6.13-rcN,1
KVM: x86,39
KVM: VMX,7
devicetree-fixes-for-6.13-1,1
soc-fixes-6.13-2,1
mm-hotfixes-stable-2024-12-21-12-09,1
staging: gpib,31
kbuild-fixes-v6.13-2,1
bpf-fixes,7
media/v6.13-3,1
pci-v6.13-fixes-2,1
pm-6.13-rc4,1
thermal-6.13-rc4,1
acpi-6.13-rc4,1
6.13-rc3-SMB3-client-fixes,1
nfs-for-6.13-2,1
ceph-for-6.13-rc4,1
modpost,20
kbuild: deb-pkg,7
kbuild,28
selftests/bpf,83
bpf,79
arm64-fixes,6
tcp_bpf,4
skmsg,1
hwmon-for-v6.13-rc4,1
of,6
block-6.13-20241220,1
io_uring-6.13-20241220,1
usb-6.13-rc4,1
spi-fix-v6.13-rc3,1
regulator-fix-v6.13-rc3,1
drm-fixes-2024-12-20,1
trace-ringbuffer-v6.13-rc3,1
arm-soc/for-6.13/devicetree-arm64-fixes,1
riscv-soc-fixes-for-v6.13-rc4,1
nfsd,20
arm64/signal,1
amd-drm-fixes-6.13-2024-12-18,1
KVM: x86/mmu,46
KVM: SVM,3
drm-misc-fixes-2024-12-19,1
io_uring,40
smb,7
net-6.13-rc4,1
mmc-v6.13-rc2,1
pwm/for-6.13-rc4-fixes,1
v6.13-rc3-ksmbd-server-fixes,1
PCI/bwctrl,3
PCI,24
io_uring/register,2
smb: client,21
drm/sched,6
accel/ivpu,15
thunderbolt-for-v6.13-rc4,1
regulator,2
net: mctp,2
net: mdiobus,1
drm-intel-fixes-2024-12-18,1
nf-24-12-19,1
octeontx2-pf,23
psample,1
netdev-genl,3
net: dsa,22
Merge branch '200GbE' of git,1
selftests: openvswitch,1
mm: huge_memory,3
alloc_tag,7
mm/codetag,5
mm/vmstat,2
mm,69
nilfs2,19
vmalloc,1
